,ON_DAY,SUM_VALUES,MAX(AGE1_SEX0),MAX(AGE2_SEX0),MAX(AGE3_SEX0),MAX(AGE1_SEX1),MAX(AGE2_SEX1),MAX(AGE3_SEX1),Class
309,313,151,3,103,4,5,33,3,0
310,59,135,11,75,5,5,37,2,0
311,120,146,9,53,4,12,65,3,0
312,128,123,3,65,8,5,33,9,0
314,253,172,3,94,4,11,55,5,0
315,268,156,3,96,5,3,47,2,0
319,178,135,8,64,5,9,40,9,0
320,170,125,8,48,7,8,48,6,0
323,263,181,4,100,12,7,55,3,0
324,335,132,6,69,4,10,41,2,0
327,118,84,3,48,5,4,22,2,0
328,191,163,8,97,8,7,38,5,0
329,249,180,12,108,4,10,44,2,0
331,284,180,2,111,3,5,55,4,0
332,292,175,11,102,7,4,49,2,0
333,317,180,8,118,5,1,46,2,0
334,2,126,12,40,3,20,49,2,0
335,54,114,5,75,5,1,25,3,0
336,56,116,2,74,3,5,30,2,0
337,57,123,4,79,5,1,29,5,0
338,116,175,3,97,2,2,67,4,0
339,129,125,11,50,3,12,44,5,0
340,132,139,2,69,6,8,48,6,0
342,147,160,10,74,10,12,45,9,0
344,171,177,12,88,8,9,58,2,0
346,295,125,4,64,1,3,49,4,0
347,326,167,1,112,7,4,39,4,0
348,55,127,11,58,3,10,42,3,0
349,74,150,4,91,6,4,42,3,0
350,86,168,4,100,4,8,48,4,0
351,72,135,3,76,2,8,44,2,0
352,105,128,6,53,7,8,50,4,0
353,162,142,12,53,2,11,59,5,0
354,161,178,10,77,12,7,60,12,0
358,14,123,13,48,3,19,37,3,0
359,164,172,10,95,11,7,43,6,0
360,186,177,13,96,4,9,52,3,0
362,299,179,4,121,5,6,38,5,0
363,323,155,1,106,6,4,33,5,0
364,320,153,4,95,6,5,40,3,0
365,84,164,12,84,4,14,45,5,0
367,260,128,7,58,6,11,35,11,0
368,283,157,1,98,7,3,46,2,0
369,302,139,8,65,4,11,46,5,0
370,306,147,4,85,4,4,47,3,0
371,21,80,11,28,3,6,31,1,0
372,16,116,6,68,6,8,27,1,0
373,32,126,5,91,2,7,20,1,0
374,47,164,3,87,6,8,57,3,0
375,135,179,1,100,6,7,62,3,0
376,153,152,8,77,6,5,51,5,0
377,199,180,9,91,7,13,55,5,0
379,41,143,13,81,3,15,30,1,0
380,267,116,5,52,1,7,46,5,0
381,2,102,6,35,4,14,40,3,0
382,95,171,1,112,2,6,49,1,0
383,99,153,7,97,10,3,34,2,0
384,177,176,6,111,3,8,45,3,0
385,175,162,11,92,4,7,43,5,0
386,271,178,6,99,6,6,55,6,0
388,335,125,6,79,7,3,29,1,0
389,348,154,3,95,4,5,45,2,0
390,58,150,7,80,8,9,45,1,0
392,187,165,11,91,8,7,43,5,0
395,359,122,2,78,6,5,30,1,0
396,355,147,5,86,8,7,39,2,0
397,358,145,4,91,4,5,40,1,0
399,67,131,8,67,4,5,45,2,0
400,172,168,9,83,9,16,49,2,0
401,152,139,2,94,11,2,28,2,0
402,205,162,7,79,4,10,57,5,0
406,340,149,4,84,5,5,47,4,0
408,24,145,6,96,3,5,34,1,0
410,151,183,7,89,4,6,70,7,0
411,188,170,11,80,13,9,51,6,0
413,39,131,4,83,5,2,33,4,0
416,254,175,9,100,5,8,49,4,0
417,276,180,2,112,7,1,51,7,0
418,282,173,7,114,6,6,39,1,0
419,289,181,3,110,4,3,57,4,0
420,327,139,5,89,2,1,41,1,0
422,181,163,7,60,14,14,60,8,0
426,55,73,4,31,1,6,26,5,0
427,102,173,5,117,6,3,40,2,0
430,305,158,9,87,9,4,44,5,0
431,73,150,5,100,4,2,37,2,0
435,206,162,12,73,4,13,52,8,0
438,36,119,9,50,3,9,46,2,0
439,43,164,8,93,5,13,44,1,0
443,31,135,1,108,2,3,20,1,0
444,83,154,14,62,3,15,55,5,0
446,56,115,9,54,3,8,37,4,0
447,124,139,4,85,3,3,37,7,0
449,222,145,9,68,6,11,49,2,0
452,221,184,9,81,9,17,55,13,0
453,364,131,10,58,2,7,52,2,0
454,27,100,6,57,3,4,29,1,0
455,85,138,5,77,4,6,42,4,0
457,218,150,5,79,2,12,47,5,0
458,223,133,11,52,3,10,51,6,0
459,234,159,15,74,2,14,52,2,0
461,286,135,2,93,5,5,28,2,0
462,65,113,2,78,1,2,27,3,0
463,283,171,5,98,8,4,50,6,0
464,330,130,2,83,1,7,35,1,0
466,29,115,13,42,3,10,42,5,0
468,78,129,12,61,3,15,34,4,0
469,94,138,6,80,2,3,44,3,0
470,227,161,11,73,8,19,41,9,0
472,162,176,11,90,11,12,48,4,0
473,209,178,13,69,6,19,68,3,0
474,194,174,10,96,13,9,41,5,0
476,258,159,4,73,7,9,58,8,0
477,310,172,12,90,5,13,50,2,0
478,362,126,10,54,7,11,39,5,0
479,33,72,3,33,3,7,22,4,0
480,119,140,6,55,8,7,60,4,0
481,154,141,11,75,6,9,35,5,0
483,277,168,2,106,7,2,46,5,0
484,321,156,3,105,8,3,33,4,0
485,165,159,3,106,5,7,37,1,0
486,204,174,13,91,10,8,50,2,0
489,236,178,19,76,2,24,56,1,0
490,334,150,2,95,3,6,42,2,0
491,331,127,6,80,2,3,35,1,0
492,332,163,2,109,8,4,38,2,0
493,21,104,8,52,4,11,27,2,0
496,109,165,5,107,8,4,39,2,0
498,138,183,4,109,9,3,49,9,0
499,203,137,14,58,5,12,45,3,0
501,197,142,17,64,3,12,42,4,0
503,287,144,5,80,6,3,45,5,0
506,108,140,6,76,9,4,35,10,0
508,227,183,11,73,11,16,60,12,0
510,35,148,6,81,3,11,46,1,0
511,46,130,8,58,1,10,51,2,0
512,69,115,9,57,4,7,36,2,0
514,156,161,4,94,6,11,41,5,0
517,219,170,9,89,10,6,51,5,0
525,272,179,7,96,4,8,56,8,0
530,280,135,6,76,3,4,43,3,0
531,49,119,6,61,6,9,33,4,0
532,50,98,4,51,4,7,27,5,0
533,34,133,9,74,2,10,35,3,0
534,193,162,10,82,8,14,41,7,0
538,85,140,2,89,4,4,40,1,0
539,93,136,4,72,2,6,49,3,0
540,254,152,2,83,3,3,56,5,0
541,80,151,6,107,3,2,31,2,0
543,216,165,13,63,5,19,60,5,0
545,47,105,6,51,1,10,35,2,0
546,78,141,8,79,5,8,39,2,0
547,76,140,2,89,2,3,42,2,0
549,200,158,12,63,8,14,52,9,0
551,221,159,8,89,6,8,46,2,0
552,96,157,5,86,6,16,42,2,0
555,287,153,7,72,6,7,54,7,0
556,306,151,8,85,7,6,40,5,0
558,38,146,5,85,4,3,46,3,0
559,61,83,5,46,3,2,25,2,0
560,99,94,6,45,2,7,32,2,0
564,361,165,7,93,6,7,48,4,0
567,26,143,5,90,8,6,31,3,0
568,181,175,9,71,7,18,64,6,0
570,25,151,7,87,3,10,42,2,0
571,55,113,15,61,1,3,30,3,0
572,76,95,3,43,2,5,37,5,0
577,305,133,3,80,6,5,37,2,0
581,104,130,2,84,1,3,37,3,0
583,271,159,5,99,4,5,42,4,0
584,20,81,4,50,1,5,20,1,0
585,225,180,21,68,4,22,60,5,0
586,270,178,1,109,10,4,50,4,0
587,301,147,18,66,2,12,46,3,0
590,230,142,14,69,7,10,37,5,0
591,237,153,18,65,3,14,46,7,0
592,314,120,2,71,2,1,39,5,0
594,230,176,18,71,3,19,61,4,0
595,303,146,8,87,7,7,36,1,0
598,91,171,11,77,7,19,54,3,0
600,169,147,14,71,3,8,48,3,0
601,202,183,11,79,10,15,59,9,0
603,336,130,2,65,4,7,45,7,0
604,89,161,5,84,6,19,45,2,0
605,115,149,1,97,7,4,38,2,0
606,72,158,3,107,8,4,30,6,0
607,362,122,4,69,5,5,36,3,0
608,49,94,4,47,2,1,39,1,0
609,141,176,1,102,7,3,60,3,0
610,159,175,5,101,4,5,55,5,0
612,18,84,4,52,2,3,20,3,0
614,82,93,1,51,1,5,33,2,0
615,112,146,3,79,7,6,49,2,0
616,125,144,7,74,5,10,45,3,0
617,209,153,15,71,7,11,42,7,0
618,92,157,8,85,8,8,42,6,0
619,134,170,7,86,5,10,60,2,0
620,298,180,8,110,6,7,48,1,0
621,337,133,3,82,6,6,35,1,0
623,100,122,6,53,8,6,42,7,0
624,139,155,1,99,5,1,43,6,0
626,303,150,7,85,7,9,40,2,0
627,356,145,4,100,4,6,28,3,0
630,124,139,6,73,2,9,42,7,0
631,260,175,5,96,3,9,61,1,0
632,7,108,17,29,2,18,39,3,0
633,70,118,9,55,3,9,40,2,0
634,133,105,6,52,5,8,30,4,0
637,284,161,2,103,2,5,46,3,0
638,72,146,3,92,8,4,37,2,0
639,77,131,6,55,8,5,52,5,0
640,161,177,6,94,4,18,53,2,0
641,246,171,15,77,3,16,54,6,0
642,275,181,5,110,9,3,50,4,0
643,349,139,4,94,5,3,32,1,0
644,168,170,7,67,15,9,63,9,0
646,248,142,4,84,9,5,35,5,0
647,258,141,3,81,8,8,37,4,0
648,269,151,2,92,3,9,41,4,0
650,25,156,3,106,8,5,31,3,0
651,56,90,9,39,3,10,28,1,0
652,62,109,10,65,4,4,23,3,0
655,39,148,9,91,2,7,38,1,0
656,20,125,5,78,2,4,33,3,0
658,164,166,7,75,10,6,62,6,0
661,215,181,9,91,5,16,58,2,0
662,248,171,14,86,8,11,48,4,0
663,322,114,4,60,1,3,44,2,0
664,35,111,13,38,2,15,42,1,0
666,131,147,10,70,2,11,51,3,0
668,279,163,4,82,7,8,56,6,0
669,77,136,2,85,1,4,41,3,0
670,88,150,5,80,5,13,46,1,0
671,151,183,5,97,6,3,67,5,0
672,208,163,13,78,5,7,56,4,0
673,236,145,8,68,5,16,45,3,0
675,262,151,5,80,6,3,54,3,0
676,282,142,2,85,2,4,47,2,0
677,27,107,7,59,4,7,26,4,0
678,180,161,9,85,5,7,49,6,0
679,267,172,9,101,4,5,47,6,0
680,281,176,2,106,7,10,49,2,0
681,328,132,8,66,3,7,44,4,0
682,345,139,2,95,5,4,32,1,0
3,25,80,2,53,2,4,17,2,0
4,24,95,2,69,4,3,16,1,0
5,209,154,12,36,14,13,55,24,0
6,215,175,9,47,26,8,45,40,0
7,270,179,7,97,6,4,55,10,0
8,284,184,8,108,7,8,48,5,0
10,38,125,3,87,7,3,23,2,0
11,62,107,4,63,4,8,27,1,0
12,164,159,8,74,8,14,49,6,0
13,254,142,4,81,6,6,35,10,0
15,335,107,5,56,10,1,30,5,0
16,345,142,6,85,6,5,37,3,0
19,19,45,2,20,2,5,14,2,0
22,275,149,3,46,26,8,37,29,0
23,333,125,1,87,3,3,26,5,0
24,4,138,16,44,7,13,50,8,0
25,58,124,1,91,4,4,23,1,0
26,194,175,20,81,7,17,43,7,0
27,234,182,11,63,18,14,50,26,0
28,303,151,8,77,3,6,51,6,0
29,297,185,9,79,12,13,60,12,0
32,179,184,4,50,32,10,48,40,0
34,222,148,8,48,22,7,34,29,0
37,299,139,3,71,5,10,41,9,0
38,344,112,4,67,3,4,33,1,0
39,109,165,5,88,8,5,53,6,0
40,102,155,4,72,9,14,52,4,0
41,266,180,1,76,20,7,58,18,0
42,285,158,6,81,6,7,45,13,0
43,328,146,5,70,3,10,54,4,0
44,358,118,5,76,3,4,26,4,0
46,44,104,2,72,4,3,22,1,0
47,284,166,3,88,11,8,46,10,0
48,291,141,4,82,11,5,29,10,0
49,155,183,9,76,9,13,67,9,0
50,167,178,13,96,14,3,40,12,0
52,26,71,6,36,2,5,20,2,0
53,90,148,10,69,7,12,45,5,0
54,85,148,12,67,3,15,47,4,0
55,107,134,7,67,3,13,39,5,0
58,249,144,10,52,13,9,45,15,0
59,304,131,2,61,5,7,42,14,0
60,321,111,4,53,10,5,36,3,0
62,43,51,1,23,1,3,21,2,0
63,239,176,14,56,11,17,56,22,0
66,109,156,2,87,9,2,51,5,0
67,126,159,18,61,8,12,49,11,0
69,221,174,11,64,15,14,55,15,0
70,85,132,5,84,2,5,35,1,0
71,59,141,3,78,6,6,43,5,0
72,115,167,7,83,14,7,44,12,0
73,145,162,7,65,12,10,47,21,0
74,238,144,10,45,19,9,27,34,0
75,282,161,4,65,15,7,52,18,0
76,339,123,1,82,1,8,29,2,0
77,8,97,14,37,3,9,30,4,0
78,45,116,1,70,3,3,37,2,0
79,195,173,12,71,11,22,46,11,0
80,357,139,7,69,5,6,48,4,0
84,267,184,8,110,7,6,42,11,0
85,319,119,12,71,6,2,27,1,0
86,30,129,5,86,5,2,29,2,0
87,49,91,1,63,3,2,21,1,0
88,176,164,12,55,11,19,54,13,0
89,217,141,15,42,9,16,47,12,0
91,240,139,13,41,15,13,42,15,0
92,268,129,1,58,11,3,47,9,0
93,276,160,3,70,20,5,47,15,0
94,13,68,4,25,6,3,25,5,0
95,31,81,4,50,1,1,22,3,0
96,120,140,9,52,5,12,52,10,0
97,143,155,7,77,7,6,49,9,0
98,169,168,15,86,13,6,43,5,0
99,168,179,13,100,14,6,43,3,0
100,268,175,6,73,21,7,39,29,0
101,278,166,5,79,10,7,49,16,0
102,84,168,12,91,7,9,44,5,0
103,28,111,13,47,4,13,31,3,0
104,129,130,8,45,5,9,60,3,0
107,350,106,2,62,3,6,31,2,0
108,99,169,6,98,5,12,47,1,0
109,158,164,8,59,18,11,51,17,0
110,196,178,21,93,8,9,40,7,0
111,276,174,5,109,8,3,40,8,0
112,343,107,5,58,5,2,35,2,0
113,61,68,5,34,2,5,19,3,0
115,354,146,6,95,6,7,30,2,0
116,78,117,6,69,3,6,30,3,0
118,201,172,13,69,10,12,52,16,0
120,352,107,4,69,4,2,27,1,0
121,1,101,11,33,5,7,43,2,0
123,136,129,5,76,7,5,26,10,0
124,185,171,6,61,18,13,45,28,0
125,210,155,14,44,11,22,53,11,0
127,353,121,2,75,3,7,31,3,0
128,127,109,2,46,9,12,32,8,0
129,200,168,7,75,20,14,36,16,0
130,198,174,9,91,13,19,36,6,0
131,227,176,13,77,6,19,51,9,0
134,86,151,7,88,7,7,36,6,0
135,62,92,10,37,4,8,29,4,0
137,130,145,7,47,9,17,51,14,0
139,66,86,1,41,2,4,33,5,0
140,106,177,7,91,7,10,56,6,0
141,160,179,11,76,16,14,51,11,0
143,37,108,2,69,6,3,26,2,0
144,82,153,10,74,3,9,53,4,0
145,100,130,4,75,8,3,35,5,0
146,133,131,3,57,13,5,37,16,0
147,142,175,9,69,18,13,49,17,0
148,141,168,8,88,6,13,49,4,0
150,88,138,5,84,3,3,39,4,0
151,218,166,12,67,8,22,48,9,0
152,339,134,5,83,6,5,31,4,0
153,359,142,7,80,5,12,32,6,0
154,250,131,5,59,5,8,47,7,0
156,38,156,2,95,4,11,42,2,0
158,137,172,12,101,8,6,40,5,0
159,149,168,8,83,10,3,56,8,0
161,299,172,9,89,5,10,52,7,0
163,24,97,6,57,4,5,24,1,0
164,32,113,4,71,5,4,26,3,0
165,90,128,6,65,5,9,41,2,0
166,101,130,5,71,4,7,40,3,0
168,192,155,18,44,17,9,52,15,0
169,271,126,3,65,9,4,33,12,0
170,325,115,3,76,3,1,30,2,0
171,9,95,11,35,5,10,31,3,0
172,76,91,6,45,2,5,28,5,0
173,118,172,5,77,8,12,57,13,0
174,176,180,8,104,14,3,42,9,0
175,202,175,15,46,24,13,52,25,0
177,104,128,3,60,6,9,48,2,0
178,119,128,7,54,3,6,55,3,0
179,165,179,11,61,24,12,51,20,0
180,227,152,17,46,16,8,49,16,0
181,287,138,9,45,10,9,45,20,0
183,6,139,8,55,4,12,56,4,0
184,181,166,14,78,10,16,43,5,0
186,329,134,7,72,2,9,39,5,0
188,45,93,2,51,5,12,20,3,0
190,87,155,7,89,8,8,37,3,0
192,332,113,2,81,6,2,21,1,0
193,340,129,3,87,4,5,29,1,0
194,36,110,1,51,3,5,48,2,0
195,183,169,10,92,4,18,42,3,0
197,225,185,13,76,7,21,60,8,0
199,28,149,11,85,8,5,37,3,0
200,74,136,2,84,3,6,40,1,0
201,248,130,1,60,7,10,46,6,0
204,7,131,7,59,2,11,46,6,0
208,291,162,5,85,7,6,53,6,0
209,2,87,13,30,2,12,28,2,0
210,51,112,1,72,3,7,28,1,0
211,134,134,2,72,11,7,37,5,0
212,188,159,10,47,12,17,53,20,0
213,206,144,8,53,8,18,49,8,0
214,293,159,2,71,16,5,53,12,0
215,342,144,4,82,7,4,44,3,0
217,140,169,9,86,9,10,46,9,0
218,145,156,7,78,6,11,45,9,0
220,161,169,13,65,9,14,53,15,0
221,294,174,4,75,16,4,58,17,0
223,71,115,4,59,5,3,40,4,0
224,114,169,11,83,7,15,46,7,0
225,172,161,12,54,14,17,44,20,0
227,229,151,7,42,15,13,50,24,0
228,286,123,4,70,8,5,30,6,0
229,64,130,4,86,1,3,34,2,0
230,73,112,1,78,5,2,25,1,0
231,124,137,8,55,12,10,42,10,0
232,271,173,4,64,26,8,43,28,0
233,302,132,9,71,5,8,38,1,0
234,23,93,3,62,3,6,18,1,0
235,102,129,4,69,6,10,36,4,0
236,99,117,7,63,5,6,32,4,0
237,196,166,20,47,20,12,43,24,0
238,297,160,3,91,12,4,45,5,0
239,329,83,3,43,2,2,28,5,0
241,89,173,17,90,3,10,51,2,0
243,152,182,14,75,12,17,48,16,0
244,252,176,4,60,22,8,57,25,0
246,288,175,4,92,6,2,59,12,0
247,342,103,7,45,6,2,35,8,0
249,303,149,8,84,4,5,42,6,0
250,352,132,4,75,7,8,34,4,0
251,114,179,5,100,10,12,49,3,0
252,164,177,14,73,13,17,52,8,0
253,241,166,7,55,25,9,38,32,0
255,290,166,2,102,9,2,44,7,0
258,69,179,8,86,6,12,62,5,0
259,180,156,15,48,15,13,50,15,0
260,208,154,13,49,16,17,41,18,0
262,289,161,10,76,11,15,38,11,0
263,85,167,6,102,5,4,46,4,0
264,116,179,4,100,9,14,47,5,0
265,88,159,7,100,6,1,41,4,0
266,5,112,14,40,5,9,41,3,0
268,112,161,8,69,7,5,64,8,0
269,111,164,6,76,8,6,58,10,0
270,150,178,9,82,4,15,58,10,0
271,197,154,13,38,10,25,54,14,0
272,225,111,10,42,7,13,32,7,0
273,242,156,9,46,17,18,43,23,0
275,298,153,6,75,10,2,49,11,0
277,130,170,11,76,15,12,35,21,0
278,147,179,13,68,12,14,64,8,0
279,177,179,19,85,9,17,46,3,0
280,83,135,5,74,2,8,45,1,0
281,93,120,3,67,1,7,40,2,0
283,252,156,5,58,14,9,44,25,0
284,296,148,2,84,10,7,40,5,0
285,10,88,4,40,5,7,26,6,0
286,53,104,6,66,2,4,25,1,0
287,159,185,11,81,8,21,56,8,0
290,296,181,5,83,13,5,62,13,0
292,20,103,6,46,7,9,29,6,0
293,9,66,5,33,2,4,20,2,0
294,50,123,13,60,3,10,34,3,0
295,69,90,5,42,5,8,27,3,0
298,125,153,6,66,13,9,44,15,0
299,186,174,18,85,12,9,41,9,0
300,204,177,13,79,20,12,48,5,0
301,255,168,4,90,9,11,46,8,0
303,32,117,3,59,7,14,33,1,0
304,87,130,1,69,10,6,40,4,0
305,91,160,13,74,8,6,54,5,0
306,283,177,1,97,14,4,51,10,0
307,305,168,8,92,8,10,37,13,0
308,337,118,5,59,6,1,42,5,0
309,86,161,3,95,9,7,45,2,0
310,91,152,13,73,6,11,45,4,0
311,105,167,8,88,4,16,46,5,0
313,40,122,3,71,2,4,41,1,0
316,136,180,7,99,10,4,44,16,0
317,165,173,14,106,4,5,38,6,0
